filename,dimensions,format
people\human\c1501\obj\hair\h0001\texture\c1501h0001_acc_id.dds,64x32,BC5_UNORM
people\human\c1501\obj\hair\h0003\texture\c1501h0003_acc_id.dds,64x128,BC5_UNORM
people\human\c1501\obj\hair\h0004\texture\c1501h0004_acc_id.dds,128x64,BC5_UNORM
people\human\c1501\obj\hair\h0005\texture\c1501h0005_acc_id.dds,128x64,BC5_UNORM
people\human\c1501\obj\hair\h0007\texture\c1501h0007_acc_id.dds,128x64,BC5_UNORM
people\human\c1501\obj\hair\h0009\texture\c1501h0009_acc_id.dds,64x32,BC5_UNORM
people\human\c1501\obj\hair\h0012\texture\c1501h0012_acc_id.dds,128x64,BC5_UNORM
people\human\c1501\obj\hair\h0013\texture\c1501h0013_acc_id.dds,128x64,BC5_UNORM
people\human\c1501\obj\hair\h0015\texture\c1501h0015_acc_id.dds,128x64,BC5_UNORM
people\human\c1501\obj\hair\h0016\texture\c1501h0016_acc_id.dds,128x64,BC5_UNORM
people\human\c1501\obj\hair\h0017\texture\c1501h0017_acc_id.dds,64x32,BC5_UNORM
people\human\c1501\obj\hair\h0019\texture\c1501h0019_acc_id.dds,64x128,BC5_UNORM
people\human\c1501\obj\hair\h0020\texture\c1501h0020_acc_id.dds,128x64,BC5_UNORM
people\human\c1501\obj\hair\h0021\texture\c1501h0021_acc_id.dds,128x64,BC5_UNORM
people\human\c1501\obj\hair\h0106\texture\c1501h0106_acc_id.dds,128x64,BC5_UNORM
people\human\c1501\obj\hair\h0112\texture\c1501h0112_acc_id.dds,128x64,BC5_UNORM
people\human\c1501\obj\hair\h0114\texture\c1501h0114_acc_id.dds,128x64,BC5_UNORM
people\human\c1501\obj\hair\h0147\texture\c1501h0147_acc_id.dds,128x64,BC5_UNORM
people\human\c1501\obj\hair\h0163\texture\c1501h0163_acc_id.dds,128x64,BC5_UNORM
people\human\c1501\obj\hair\h0168\texture\c1501h0168_acc_id.dds,128x64,BC5_UNORM
people\human\c1501\obj\hair\h0169\texture\c1501h0169_acc_id.dds,128x128,BC5_UNORM
people\human\c1501\obj\hair\h0174\texture\c1501h0174_acc_id.dds,128x128,BC5_UNORM
people\human\c1501\obj\hair\h0176\texture\c1501h0176_acc_id.dds,128x64,BC5_UNORM
people\human\c1501\obj\hair\h0178\texture\c1501h0178_acc_id.dds,256x128,BC5_UNORM
people\human\c1601\obj\hair\h0003\texture\c1601h0003_acc_id.dds,128x128,BC5_UNORM
people\human\c1601\obj\hair\h0007\texture\c1601h0007_acc_id.dds,256x128,BC5_UNORM
people\human\c1601\obj\hair\h0008\texture\c1601h0008_acc_id.dds,256x128,BC5_UNORM
people\human\c1601\obj\hair\h0013\texture\c1601h0013_acc_id.dds,256x128,BC5_UNORM
people\human\c1601\obj\hair\h0178\texture\c1601h0178_acc_id.dds,256x128,BC5_UNORM
people\human\c1701\obj\hair\h0005\texture\c1701h0005_acc_id.dds,128x64,BC5_UNORM
people\human\c1701\obj\hair\h0008\texture\c1701h0008_acc_id.dds,64x64,BC5_UNORM
people\human\c1701\obj\hair\h0009\texture\c1701h0009_acc_id.dds,256x256,BC5_UNORM
people\human\c1701\obj\hair\h0011\texture\c1701h0011_acc_id.dds,256x128,BC5_UNORM
people\human\c1701\obj\hair\h0013\texture\c1701h0013_acc_id.dds,128x64,BC5_UNORM
people\human\c1701\obj\hair\h0015\texture\c1701h0015_acc_id.dds,128x64,BC5_UNORM
people\human\c1701\obj\hair\h0016\texture\c1701h0016_acc_id.dds,128x64,BC5_UNORM
people\human\c1701\obj\hair\h0017\texture\c1701h0017_acc_id.dds,256x256,BC5_UNORM
people\human\c1801\obj\hair\h0001\texture\c1801h0001_acc_id.dds,128x64,BC5_UNORM
people\human\c1801\obj\hair\h0002\texture\c1801h0002_acc_id.dds,128x64,BC5_UNORM
people\human\c1801\obj\hair\h0003\texture\c1801h0003_acc_id.dds,128x64,BC5_UNORM
people\human\c1801\obj\hair\h0004\texture\c1801h0004_acc_id.dds,128x64,BC5_UNORM
people\human\c1801\obj\hair\h0005\texture\c1801h0005_acc_id.dds,128x64,BC5_UNORM
people\human\c1801\obj\hair\h0006\texture\c1801h0006_acc_id.dds,128x64,BC5_UNORM
people\human\c1801\obj\hair\h0010\texture\c1801h0010_acc_id.dds,64x64,BC5_UNORM
people\human\c1801\obj\hair\h0013\texture\c1801h0013_acc_id.dds,128x64,BC5_UNORM
people\human\c1801\obj\hair\h0014\texture\c1801h0014_acc_id.dds,128x64,BC5_UNORM
people\human\c1801\obj\hair\h0015\texture\c1801h0015_acc_id.dds,128x64,BC5_UNORM
people\human\c1801\obj\hair\h0016\texture\c1801h0016_acc_id.dds,128x64,BC5_UNORM
people\human\c1801\obj\hair\h0017\texture\c1801h0017_acc_id.dds,256x256,BC5_UNORM
