filename,dimensions,format
people\human\c0101\obj\body\b0001\texture\c0101b0001_norm.dds,1024x2048,BC7_UNORM
people\human\c0101\obj\face\f0001\texture\c0101f0001_etc_mask.dds,256x512,BC7_UNORM
people\human\c0101\obj\face\f0001\texture\c0101f0001_fac_base.dds,256x512,BC7_UNORM
people\human\c0101\obj\face\f0001\texture\c0101f0001_fac_norm.dds,512x1024,BC7_UNORM
people\human\c0101\obj\face\f0002\texture\c0101f0002_etc_mask.dds,256x512,BC7_UNORM
people\human\c0101\obj\face\f0002\texture\c0101f0002_fac_base.dds,256x512,BC7_UNORM
people\human\c0101\obj\face\f0002\texture\c0101f0002_fac_norm.dds,512x1024,BC7_UNORM
people\human\c0101\obj\face\f0003\texture\c0101f0003_etc_mask.dds,512x512,BC7_UNORM
people\human\c0101\obj\face\f0003\texture\c0101f0003_fac_base.dds,256x512,BC7_UNORM
people\human\c0101\obj\face\f0003\texture\c0101f0003_fac_norm.dds,512x1024,BC7_UNORM
people\human\c0101\obj\face\f0004\texture\c0101f0004_etc_mask.dds,256x512,BC7_UNORM
people\human\c0101\obj\face\f0004\texture\c0101f0004_fac_base.dds,256x512,BC7_UNORM
people\human\c0101\obj\face\f0004\texture\c0101f0004_fac_norm.dds,512x1024,BC7_UNORM
people\human\c0101\obj\face\f0005\texture\c0101f0005_fac_base.dds,256x512,BC7_UNORM
people\human\c0101\obj\face\f0005\texture\c0101f0005_fac_norm.dds,512x1024,BC7_UNORM
people\human\c0101\obj\face\f0006\texture\c0101f0006_etc_mask.dds,256x512,BC7_UNORM
people\human\c0101\obj\face\f0006\texture\c0101f0006_fac_base.dds,256x512,BC7_UNORM
people\human\c0101\obj\face\f0006\texture\c0101f0006_fac_norm.dds,512x1024,BC7_UNORM
people\human\c0101\obj\face\f0007\texture\c0101f0007_etc_mask.dds,512x512,BC7_UNORM
people\human\c0101\obj\face\f0007\texture\c0101f0007_fac_base.dds,256x512,BC7_UNORM
people\human\c0101\obj\face\f0007\texture\c0101f0007_fac_norm.dds,512x1024,BC7_UNORM
people\human\c0101\obj\hair\h0001\texture\c0101h0001_hir_mask.dds,1024x512,BC7_UNORM
people\human\c0101\obj\hair\h0001\texture\c0101h0001_hir_norm.dds,1024x512,BC7_UNORM
people\human\c0101\obj\hair\h0002\texture\c0101h0002_hir_mask.dds,1024x512,BC7_UNORM
people\human\c0101\obj\hair\h0002\texture\c0101h0002_hir_norm.dds,1024x512,BC7_UNORM
people\human\c0101\obj\hair\h0003\texture\c0101h0003_hir_mask.dds,1024x512,BC7_UNORM
people\human\c0101\obj\hair\h0003\texture\c0101h0003_hir_norm.dds,1024x512,BC7_UNORM
people\human\c0101\obj\hair\h0004\texture\c0101h0004_hir_mask.dds,1024x512,BC7_UNORM
people\human\c0101\obj\hair\h0004\texture\c0101h0004_hir_norm.dds,1024x512,BC7_UNORM
people\human\c0101\obj\hair\h0005\texture\c0101h0005_hir_mask.dds,512x512,BC7_UNORM
people\human\c0101\obj\hair\h0005\texture\c0101h0005_hir_norm.dds,512x512,BC7_UNORM
people\human\c0101\obj\hair\h0006\texture\c0101h0006_hir_mask.dds,1024x512,BC7_UNORM
people\human\c0101\obj\hair\h0006\texture\c0101h0006_hir_norm.dds,1024x512,BC7_UNORM
people\human\c0101\obj\hair\h0007\texture\c0101h0007_hir_mask.dds,1024x512,BC7_UNORM
people\human\c0101\obj\hair\h0007\texture\c0101h0007_hir_norm.dds,1024x512,BC7_UNORM
people\human\c0101\obj\hair\h0008\texture\c0101h0008_hir_mask.dds,1024x512,BC7_UNORM
people\human\c0101\obj\hair\h0008\texture\c0101h0008_hir_norm.dds,1024x512,BC7_UNORM
people\human\c0101\obj\hair\h0009\texture\c0101h0009_hir_mask.dds,1024x512,BC7_UNORM
people\human\c0101\obj\hair\h0009\texture\c0101h0009_hir_norm.dds,1024x512,BC7_UNORM
people\human\c0101\obj\hair\h0010\texture\c0101h0010_hir_mask.dds,1024x512,BC7_UNORM
people\human\c0101\obj\hair\h0010\texture\c0101h0010_hir_norm.dds,1024x512,BC7_UNORM
people\human\c0101\obj\hair\h0011\texture\c0101h0011_hir_mask.dds,1024x512,BC7_UNORM
people\human\c0101\obj\hair\h0011\texture\c0101h0011_hir_norm.dds,1024x512,BC7_UNORM
people\human\c0101\obj\hair\h0012\texture\c0101h0012_hir_mask.dds,1024x512,BC7_UNORM
people\human\c0101\obj\hair\h0012\texture\c0101h0012_hir_norm.dds,1024x512,BC7_UNORM
people\human\c0101\obj\hair\h0013\texture\c0101h0013_hir_mask.dds,1024x512,BC7_UNORM
people\human\c0101\obj\hair\h0013\texture\c0101h0013_hir_norm.dds,1024x512,BC7_UNORM
people\human\c0101\obj\hair\h0014\texture\c0101h0014_hir_mask.dds,1024x512,BC7_UNORM
people\human\c0101\obj\hair\h0014\texture\c0101h0014_hir_norm.dds,2048x1024,BC7_UNORM
people\human\c0101\obj\hair\h0051\texture\c0101h0051_hir_mask.dds,1024x512,BC7_UNORM
people\human\c0101\obj\hair\h0051\texture\c0101h0051_hir_norm.dds,1024x512,BC7_UNORM
people\human\c0101\obj\hair\h0052\texture\c0101h0052_hir_mask.dds,1024x512,BC7_UNORM
people\human\c0101\obj\hair\h0052\texture\c0101h0052_hir_norm.dds,1024x512,BC7_UNORM
people\human\c0101\obj\hair\h0053\texture\c0101h0053_hir_mask.dds,1024x512,BC7_UNORM
people\human\c0101\obj\hair\h0053\texture\c0101h0053_hir_norm.dds,1024x512,BC7_UNORM
people\human\c0101\obj\hair\h0054\texture\c0101h0054_hir_mask.dds,1024x512,BC7_UNORM
people\human\c0101\obj\hair\h0054\texture\c0101h0054_hir_norm.dds,1024x512,BC7_UNORM
people\human\c0101\obj\hair\h0061\texture\c0101h0061_hir_mask.dds,1024x512,BC7_UNORM
people\human\c0101\obj\hair\h0061\texture\c0101h0061_hir_norm.dds,1024x512,BC7_UNORM
people\human\c0101\obj\hair\h0101\texture\c0101h0101_hir_mask.dds,1024x512,BC7_UNORM
people\human\c0101\obj\hair\h0101\texture\c0101h0101_hir_norm.dds,1024x512,BC7_UNORM
people\human\c0101\obj\hair\h0102\texture\c0101h0102_hir_mask.dds,1024x512,BC7_UNORM
people\human\c0101\obj\hair\h0102\texture\c0101h0102_hir_norm.dds,1024x512,BC7_UNORM
people\human\c0101\obj\hair\h0103\texture\c0101h0103_hir_mask.dds,1024x512,BC7_UNORM
people\human\c0101\obj\hair\h0103\texture\c0101h0103_hir_norm.dds,1024x512,BC7_UNORM
people\human\c0101\obj\hair\h0104\texture\c0101h0104_hir_mask.dds,1024x512,BC7_UNORM
people\human\c0101\obj\hair\h0104\texture\c0101h0104_hir_norm.dds,1024x512,BC7_UNORM
people\human\c0101\obj\hair\h0105\texture\c0101h0105_hir_mask.dds,1024x512,BC7_UNORM
people\human\c0101\obj\hair\h0105\texture\c0101h0105_hir_norm.dds,1024x512,BC7_UNORM
people\human\c0101\obj\hair\h0106\texture\c0101h0106_hir_mask.dds,1024x512,BC7_UNORM
people\human\c0101\obj\hair\h0106\texture\c0101h0106_hir_norm.dds,1024x512,BC7_UNORM
people\human\c0101\obj\hair\h0107\texture\c0101h0107_hir_mask.dds,1024x512,BC7_UNORM
people\human\c0101\obj\hair\h0107\texture\c0101h0107_hir_norm.dds,1024x512,BC7_UNORM
people\human\c0101\obj\hair\h0108\texture\c0101h0108_hir_mask.dds,1024x512,BC7_UNORM
people\human\c0101\obj\hair\h0108\texture\c0101h0108_hir_norm.dds,1024x512,BC7_UNORM
