index,filename,dimensions,format
480,7-0_output\cnt\f1c5\texture\f1c5_a1_metl3_d.dds,256x256,BC7_UNORM
481,6-3_output\cnt\f1c5\texture\f1c5_a1_tawa1_d.dds,512x256,BC1_UNORM
481,7-0_output\cnt\f1c5\texture\f1c5_a1_tawa1_d.dds,512x256,BC7_UNORM
482,6-3_output\cnt\f1c5\texture\f1c5_p1_kumo1_d.dds,512x512,BC1_UNORM
482,7-0_output\cnt\f1c5\texture\f1c5_p1_kumo1_d.dds,512x512,BC7_UNORM
483,6-3_output\cnt\f1c5\texture\f1c5_p1_kumo2_d.dds,1024x1024,BC1_UNORM
483,7-0_output\cnt\f1c5\texture\f1c5_p1_kumo2_d.dds,1024x1024,BC7_UNORM
484,6-3_output\cnt\f1c6\texture\f1c6_a3_fenc1_d.dds,512x512,BC1_UNORM
484,7-0_output\cnt\f1c6\texture\f1c6_a3_fenc1_d.dds,512x512,BC7_UNORM
485,6-3_output\cnt\f1c6\texture\f1c6_a3_flag1_d.dds,512x256,BC1_UNORM
485,7-0_output\cnt\f1c6\texture\f1c6_a3_flag1_d.dds,512x256,BC7_UNORM
486,6-3_output\cnt\f1c6\texture\f1c6_a3_flag2_d.dds,512x256,BC1_UNORM
486,7-0_output\cnt\f1c6\texture\f1c6_a3_flag2_d.dds,512x256,BC7_UNORM
487,6-3_output\cnt\f1c6\texture\f1c6_a3_lmp1a_n.dds,512x512,BC3_UNORM
487,7-0_output\cnt\f1c6\texture\f1c6_a3_lmp1a_n.dds,512x512,BC7_UNORM
488,6-3_output\cnt\f1c6\texture\f1c6_a3_skl01_d.dds,512x512,BC1_UNORM
488,7-0_output\cnt\f1c6\texture\f1c6_a3_skl01_d.dds,512x512,BC7_UNORM
489,6-3_output\cnt\f1c6\texture\f1c6_a3_skl01_n.dds,512x512,BC3_UNORM
489,7-0_output\cnt\f1c6\texture\f1c6_a3_skl01_n.dds,512x512,BC7_UNORM
490,6-3_output\cnt\f1c6\texture\f1c6_a3_skl02_n.dds,256x256,BC3_UNORM
490,7-0_output\cnt\f1c6\texture\f1c6_a3_skl02_n.dds,256x256,BC7_UNORM
491,6-3_output\cnt\f1c6\texture\f1c6_t1_lava1_n.dds,1024x1024,BC3_UNORM
491,7-0_output\cnt\f1c6\texture\f1c6_t1_lava1_n.dds,1024x1024,BC7_UNORM
492,6-3_output\cnt\f1c7\texture\f1c7_a1_sand3_n.dds,1024x1024,BC3_UNORM
492,7-0_output\cnt\f1c7\texture\f1c7_a1_sand3_n.dds,1024x1024,BC7_UNORM
493,6-3_output\cnt\f1c7\texture\f1c7_a1_sand4_n.dds,1024x1024,BC3_UNORM
493,7-0_output\cnt\f1c7\texture\f1c7_a1_sand4_n.dds,1024x1024,BC7_UNORM
494,6-3_output\cnt\f1c7\texture\_f1c7_a1_drop1_d.dds,256x2048,BC1_UNORM
494,7-0_output\cnt\f1c7\texture\_f1c7_a1_drop1_d.dds,256x2048,BC7_UNORM
495,6-3_output\cnt\f1c7\texture\_f1c7_a1_drop2_d.dds,1024x1024,BC1_UNORM
495,7-0_output\cnt\f1c7\texture\_f1c7_a1_drop2_d.dds,1024x1024,BC7_UNORM
496,6-3_output\cnt\f1c7\texture\_f1c7_a1_drop4_d.dds,256x2048,BC1_UNORM
496,7-0_output\cnt\f1c7\texture\_f1c7_a1_drop4_d.dds,256x2048,BC7_UNORM
497,6-3_output\cnt\f1c7\texture\_f1c7_p1_leaf1_d.dds,512x512,BC1_UNORM
497,7-0_output\cnt\f1c7\texture\_f1c7_p1_leaf1_d.dds,512x512,BC7_UNORM
498,6-3_output\cnt\f1c7\texture\_f1c7_p1_leaf2_d.dds,512x512,BC1_UNORM
498,7-0_output\cnt\f1c7\texture\_f1c7_p1_leaf2_d.dds,512x512,BC7_UNORM
499,6-3_output\cnt\n4c1\texture\n4c1_a0_g0071_d.dds,256x256,BC1_UNORM
499,7-0_output\cnt\n4c1\texture\n4c1_a0_g0071_d.dds,256x256,BC7_UNORM
500,6-3_output\cnt\n4c1\texture\n4c1_a0_g0071_n.dds,256x256,BC3_UNORM
500,7-0_output\cnt\n4c1\texture\n4c1_a0_g0071_n.dds,256x256,BC7_UNORM
501,6-3_output\cnt\n4c1\texture\n4c1_a0_g0072_d.dds,8x128,BC1_UNORM
501,7-0_output\cnt\n4c1\texture\n4c1_a0_g0072_d.dds,8x128,BC7_UNORM
502,6-3_output\cnt\n4c1\texture\n4c1_a0_g0072_n.dds,256x256,BC3_UNORM
502,7-0_output\cnt\n4c1\texture\n4c1_a0_g0072_n.dds,256x256,BC7_UNORM
503,6-3_output\cnt\n4c1\texture\n4c1_a0_g0073_d.dds,256x256,BC1_UNORM
503,7-0_output\cnt\n4c1\texture\n4c1_a0_g0073_d.dds,256x256,BC7_UNORM
504,6-3_output\cnt\n4c1\texture\n4c1_a0_g0074_d.dds,8x128,BC1_UNORM
504,7-0_output\cnt\n4c1\texture\n4c1_a0_g0074_d.dds,8x128,BC7_UNORM
505,6-3_output\cnt\n4c1\texture\n4c1_a0_plt72_d.dds,1024x1024,BC1_UNORM
505,7-0_output\cnt\n4c1\texture\n4c1_a0_plt72_d.dds,1024x1024,BC7_UNORM
506,6-3_output\cnt\n4c1\texture\n4c1_a1_plt01_d.dds,1024x1024,BC1_UNORM
506,7-0_output\cnt\n4c1\texture\n4c1_a1_plt01_d.dds,1024x1024,BC7_UNORM
507,6-3_output\cnt\n4c1\texture\n4c1_a1_plt02_d.dds,1024x1024,BC1_UNORM
507,7-0_output\cnt\n4c1\texture\n4c1_a1_plt02_d.dds,1024x1024,BC7_UNORM
508,6-3_output\cnt\n4c1\texture\n4c1_a2_arf02_d.dds,512x256,BC1_UNORM
508,7-0_output\cnt\n4c1\texture\n4c1_a2_arf02_d.dds,512x256,BC7_UNORM
509,6-3_output\cnt\n4c1\texture\n4c1_a2_arf03_d.dds,512x512,BC1_UNORM
509,7-0_output\cnt\n4c1\texture\n4c1_a2_arf03_d.dds,512x512,BC7_UNORM
510,6-3_output\cnt\n4c1\texture\n4c1_a2_arf04_d.dds,512x512,BC1_UNORM
510,7-0_output\cnt\n4c1\texture\n4c1_a2_arf04_d.dds,512x512,BC7_UNORM
511,6-3_output\cnt\n4c1\texture\n4c1_a2_arf05_d.dds,512x512,BC1_UNORM
511,7-0_output\cnt\n4c1\texture\n4c1_a2_arf05_d.dds,512x512,BC7_UNORM
512,6-3_output\cnt\n4c1\texture\n4c1_a2_plt01_d.dds,1024x1024,BC1_UNORM
512,7-0_output\cnt\n4c1\texture\n4c1_a2_plt01_d.dds,1024x1024,BC7_UNORM
513,6-3_output\cnt\n4c1\texture\n4c1_a3_arf01_n.dds,512x256,BC3_UNORM
513,7-0_output\cnt\n4c1\texture\n4c1_a3_arf01_n.dds,512x256,BC7_UNORM
514,6-3_output\cnt\n4c1\texture\n4c1_a3_arf02_d.dds,512x256,BC1_UNORM
514,7-0_output\cnt\n4c1\texture\n4c1_a3_arf02_d.dds,512x256,BC7_UNORM
515,6-3_output\cnt\n4c1\texture\n4c1_a3_arf03_d.dds,512x512,BC1_UNORM
515,7-0_output\cnt\n4c1\texture\n4c1_a3_arf03_d.dds,512x512,BC7_UNORM
516,6-3_output\cnt\n4c1\texture\n4c1_a3_arf03_n.dds,512x512,BC3_UNORM
516,7-0_output\cnt\n4c1\texture\n4c1_a3_arf03_n.dds,512x512,BC7_UNORM
517,6-3_output\cnt\n4c1\texture\n4c1_a3_arf04_d.dds,512x512,BC1_UNORM
517,7-0_output\cnt\n4c1\texture\n4c1_a3_arf04_d.dds,512x512,BC7_UNORM
518,6-3_output\cnt\n4c1\texture\n4c1_a3_arf04_n.dds,512x512,BC3_UNORM
518,7-0_output\cnt\n4c1\texture\n4c1_a3_arf04_n.dds,512x512,BC7_UNORM
519,6-3_output\cnt\n4c1\texture\n4c1_a3_arf05_d.dds,512x512,BC1_UNORM
519,7-0_output\cnt\n4c1\texture\n4c1_a3_arf05_d.dds,512x512,BC7_UNORM
520,6-3_output\cnt\n4c1\texture\n4c1_a3_arf05_n.dds,512x512,BC3_UNORM
520,7-0_output\cnt\n4c1\texture\n4c1_a3_arf05_n.dds,512x512,BC7_UNORM
521,6-3_output\cnt\n4c1\texture\n4c1_a3_plt01_d.dds,1024x1024,BC1_UNORM
521,7-0_output\cnt\n4c1\texture\n4c1_a3_plt01_d.dds,1024x1024,BC7_UNORM
522,6-3_output\cnt\n4c1\texture\n4c1_k0_pill1_n.dds,1024x1024,BC3_UNORM
522,7-0_output\cnt\n4c1\texture\n4c1_k0_pill1_n.dds,1024x1024,BC7_UNORM
523,6-3_output\cnt\n4c1\texture\n4c1_k0_plnt1_d.dds,512x512,BC1_UNORM
523,7-0_output\cnt\n4c1\texture\n4c1_k0_plnt1_d.dds,512x512,BC7_UNORM
524,6-3_output\cnt\n4c1\texture\n4c1_k0_rose1_d.dds,256x256,BC1_UNORM
524,7-0_output\cnt\n4c1\texture\n4c1_k0_rose1_d.dds,256x256,BC7_UNORM
525,6-3_output\cnt\n4c1\texture\n4c1_k0_rot2a_n.dds,512x512,BC3_UNORM
525,7-0_output\cnt\n4c1\texture\n4c1_k0_rot2a_n.dds,512x512,BC7_UNORM
526,6-3_output\cnt\n4c1\texture\n4c1_k0_wat01_n.dds,512x512,BC3_UNORM
526,7-0_output\cnt\n4c1\texture\n4c1_k0_wat01_n.dds,512x512,BC7_UNORM
527,6-3_output\cnt\n4c1\texture\n4c1_k1_grs01_n.dds,512x512,BC3_UNORM
527,7-0_output\cnt\n4c1\texture\n4c1_k1_grs01_n.dds,512x512,BC7_UNORM
528,6-3_output\cnt\n4c1\texture\n4c1_k2_grs01_n.dds,512x512,BC3_UNORM
528,7-0_output\cnt\n4c1\texture\n4c1_k2_grs01_n.dds,512x512,BC7_UNORM
529,6-3_output\cnt\n4c1\texture\n4c1_k2_rose1_d.dds,256x256,BC1_UNORM
529,7-0_output\cnt\n4c1\texture\n4c1_k2_rose1_d.dds,256x256,BC7_UNORM
530,6-3_output\cnt\n4c1\texture\n4c1_k3_gld01_n.dds,512x512,BC3_UNORM
530,7-0_output\cnt\n4c1\texture\n4c1_k3_gld01_n.dds,512x512,BC7_UNORM
531,6-3_output\cnt\n4c1\texture\n4c1_k3_grs01_n.dds,512x512,BC3_UNORM
531,7-0_output\cnt\n4c1\texture\n4c1_k3_grs01_n.dds,512x512,BC7_UNORM
532,6-3_output\cnt\n4c1\texture\n4c1_k3_lamp1_n.dds,512x512,BC3_UNORM
532,7-0_output\cnt\n4c1\texture\n4c1_k3_lamp1_n.dds,512x512,BC7_UNORM
533,6-3_output\cnt\n4c1\texture\n4c1_k3_rose1_d.dds,256x256,BC1_UNORM
533,7-0_output\cnt\n4c1\texture\n4c1_k3_rose1_d.dds,256x256,BC7_UNORM
534,6-3_output\cnt\n4c1\texture\_n4c1_a1_grs02_d.dds,128x256,BC1_UNORM
534,7-0_output\cnt\n4c1\texture\_n4c1_a1_grs02_d.dds,128x256,BC7_UNORM
535,6-3_output\cnt\n4c1\texture\_n4c1_a1_grs3a_d.dds,128x128,BC1_UNORM
535,7-0_output\cnt\n4c1\texture\_n4c1_a1_grs3a_d.dds,128x128,BC7_UNORM
536,6-3_output\cnt\n4c1\texture\_n4c1_a1_grs3b_d.dds,128x128,BC1_UNORM
536,7-0_output\cnt\n4c1\texture\_n4c1_a1_grs3b_d.dds,128x128,BC7_UNORM
537,6-3_output\cnt\n4c1\texture\_n4c1_a1_grs3c_d.dds,128x128,BC1_UNORM
537,7-0_output\cnt\n4c1\texture\_n4c1_a1_grs3c_d.dds,128x128,BC7_UNORM
538,6-3_output\cnt\n4c1\texture\_n4c1_a2_grs02_d.dds,128x256,BC1_UNORM
538,7-0_output\cnt\n4c1\texture\_n4c1_a2_grs02_d.dds,128x256,BC7_UNORM
539,6-3_output\cnt\n4c1\texture\_n4c1_a3_grs01_d.dds,256x256,BC1_UNORM
539,7-0_output\cnt\n4c1\texture\_n4c1_a3_grs01_d.dds,256x256,BC7_UNORM
540,6-3_output\cnt\n4c1\texture\_n4c1_a3_grs02_d.dds,128x256,BC1_UNORM
540,7-0_output\cnt\n4c1\texture\_n4c1_a3_grs02_d.dds,128x256,BC7_UNORM
541,6-3_output\cnt\n4c1\texture\_n4c1_a3_grs03_d.dds,128x128,BC1_UNORM
541,7-0_output\cnt\n4c1\texture\_n4c1_a3_grs03_d.dds,128x128,BC7_UNORM
542,6-3_output\cnt\n4c1\texture\_n4c1_k0_leaf1_d.dds,2048x2048,BC1_UNORM
542,7-0_output\cnt\n4c1\texture\_n4c1_k0_leaf1_d.dds,2048x2048,BC7_UNORM
543,6-3_output\cnt\n4c1\texture\_n4c1_k0_leaf2_d.dds,2048x2048,BC1_UNORM
543,7-0_output\cnt\n4c1\texture\_n4c1_k0_leaf2_d.dds,2048x2048,BC7_UNORM
544,6-3_output\cnt\n4c1\texture\_n4c1_k0_leaf3_d.dds,1024x2048,BC1_UNORM
544,7-0_output\cnt\n4c1\texture\_n4c1_k0_leaf3_d.dds,1024x2048,BC7_UNORM
545,6-3_output\cnt\n4c1\texture\_n4c1_k0_plnt1_d.dds,512x512,BC1_UNORM
545,7-0_output\cnt\n4c1\texture\_n4c1_k0_plnt1_d.dds,512x512,BC7_UNORM
546,6-3_output\cnt\n4c1\texture\_n4c1_k1_gras1_d.dds,512x128,BC1_UNORM
546,7-0_output\cnt\n4c1\texture\_n4c1_k1_gras1_d.dds,512x128,BC7_UNORM
547,6-3_output\cnt\n4c1\texture\_n4c1_k2_leaf3_d.dds,1024x2048,BC1_UNORM
547,7-0_output\cnt\n4c1\texture\_n4c1_k2_leaf3_d.dds,1024x2048,BC7_UNORM
548,6-3_output\cnt\n4c1\texture\_n4c1_k3_fenc2_d.dds,256x128,BC1_UNORM
548,7-0_output\cnt\n4c1\texture\_n4c1_k3_fenc2_d.dds,256x128,BC7_UNORM
549,6-3_output\cnt\n4c1\texture\_n4c1_k3_fenc2_n.dds,256x128,BC3_UNORM
549,7-0_output\cnt\n4c1\texture\_n4c1_k3_fenc2_n.dds,256x128,BC7_UNORM
550,6-3_output\cnt\n4c1\texture\_n4c1_k3_leaf3_d.dds,1024x2048,BC1_UNORM
550,7-0_output\cnt\n4c1\texture\_n4c1_k3_leaf3_d.dds,1024x2048,BC7_UNORM
551,6-3_output\cnt\n4c1\texture\_n4c1_p0_plnt2_d.dds,1024x1024,BC1_UNORM
551,7-0_output\cnt\n4c1\texture\_n4c1_p0_plnt2_d.dds,1024x1024,BC7_UNORM
552,6-3_output\cnt\n4c1\texture\_n4c1_p1_popo2_d.dds,256x256,BC1_UNORM
552,7-0_output\cnt\n4c1\texture\_n4c1_p1_popo2_d.dds,256x256,BC7_UNORM
553,6-3_output\cnt\n4c2\texture\n4c2_a3_coin1_d.dds,512x512,BC1_UNORM
553,7-0_output\cnt\n4c2\texture\n4c2_a3_coin1_d.dds,512x512,BC7_UNORM
554,6-3_output\cnt\n4c2\texture\n4c2_a3_coin3_d.dds,512x512,BC1_UNORM
554,7-0_output\cnt\n4c2\texture\n4c2_a3_coin3_d.dds,512x512,BC7_UNORM
555,6-3_output\cnt\n4c2\texture\n4c2_a3_coin4_d.dds,512x512,BC1_UNORM
555,7-0_output\cnt\n4c2\texture\n4c2_a3_coin4_d.dds,512x512,BC7_UNORM
556,6-3_output\cnt\n4c2\texture\n4c2_k0_pill1_n.dds,1024x1024,BC3_UNORM
556,7-0_output\cnt\n4c2\texture\n4c2_k0_pill1_n.dds,1024x1024,BC7_UNORM
557,6-3_output\cnt\n4c2\texture\n4c2_k0_plnt1_d.dds,512x512,BC1_UNORM
557,7-0_output\cnt\n4c2\texture\n4c2_k0_plnt1_d.dds,512x512,BC7_UNORM
558,6-3_output\cnt\n4c2\texture\n4c2_k0_rose1_d.dds,256x256,BC1_UNORM
558,7-0_output\cnt\n4c2\texture\n4c2_k0_rose1_d.dds,256x256,BC7_UNORM
559,6-3_output\cnt\n4c2\texture\n4c2_k0_wat01_n.dds,512x512,BC3_UNORM
559,7-0_output\cnt\n4c2\texture\n4c2_k0_wat01_n.dds,512x512,BC7_UNORM
560,6-3_output\cnt\n4c2\texture\n4c2_k1_grs01_n.dds,512x512,BC3_UNORM
560,7-0_output\cnt\n4c2\texture\n4c2_k1_grs01_n.dds,512x512,BC7_UNORM
561,6-3_output\cnt\n4c2\texture\n4c2_k1_plnt1_d.dds,512x512,BC1_UNORM
561,7-0_output\cnt\n4c2\texture\n4c2_k1_plnt1_d.dds,512x512,BC7_UNORM
562,6-3_output\cnt\n4c2\texture\n4c2_k2_grs01_n.dds,512x512,BC3_UNORM
562,7-0_output\cnt\n4c2\texture\n4c2_k2_grs01_n.dds,512x512,BC7_UNORM
563,6-3_output\cnt\n4c2\texture\n4c2_k2_rose1_d.dds,256x256,BC1_UNORM
563,7-0_output\cnt\n4c2\texture\n4c2_k2_rose1_d.dds,256x256,BC7_UNORM
564,6-3_output\cnt\n4c2\texture\n4c2_k3_grs01_n.dds,512x512,BC3_UNORM
564,7-0_output\cnt\n4c2\texture\n4c2_k3_grs01_n.dds,512x512,BC7_UNORM
565,6-3_output\cnt\n4c2\texture\n4c2_k3_rose1_d.dds,256x256,BC1_UNORM
565,7-0_output\cnt\n4c2\texture\n4c2_k3_rose1_d.dds,256x256,BC7_UNORM
566,6-3_output\cnt\n4c2\texture\n4c2_p1_plt4a_d.dds,512x512,BC1_UNORM
566,7-0_output\cnt\n4c2\texture\n4c2_p1_plt4a_d.dds,512x512,BC7_UNORM
567,6-3_output\cnt\n4c2\texture\n4c2_p1_plt5a_d.dds,512x512,BC1_UNORM
567,7-0_output\cnt\n4c2\texture\n4c2_p1_plt5a_d.dds,512x512,BC7_UNORM
568,6-3_output\cnt\n4c2\texture\n4c2_p1_plt6a_d.dds,512x512,BC1_UNORM
568,7-0_output\cnt\n4c2\texture\n4c2_p1_plt6a_d.dds,512x512,BC7_UNORM
569,6-3_output\cnt\n4c2\texture\n4c2_p4_flow1_d.dds,512x256,BC1_UNORM
569,7-0_output\cnt\n4c2\texture\n4c2_p4_flow1_d.dds,512x256,BC7_UNORM
570,6-3_output\cnt\n4c2\texture\_n4c2_k0_leaf1_d.dds,2048x2048,BC1_UNORM
570,7-0_output\cnt\n4c2\texture\_n4c2_k0_leaf1_d.dds,2048x2048,BC7_UNORM
571,6-3_output\cnt\n4c2\texture\_n4c2_k0_leaf2_d.dds,2048x2048,BC1_UNORM
571,7-0_output\cnt\n4c2\texture\_n4c2_k0_leaf2_d.dds,2048x2048,BC7_UNORM
572,6-3_output\cnt\n4c2\texture\_n4c2_k0_leaf3_d.dds,1024x2048,BC1_UNORM
572,7-0_output\cnt\n4c2\texture\_n4c2_k0_leaf3_d.dds,1024x2048,BC7_UNORM
573,6-3_output\cnt\n4c2\texture\_n4c2_k0_plnt1_d.dds,512x512,BC1_UNORM
573,7-0_output\cnt\n4c2\texture\_n4c2_k0_plnt1_d.dds,512x512,BC7_UNORM
574,6-3_output\cnt\n4c2\texture\_n4c2_k1_leaf1_d.dds,2048x2048,BC1_UNORM
574,7-0_output\cnt\n4c2\texture\_n4c2_k1_leaf1_d.dds,2048x2048,BC7_UNORM
575,6-3_output\cnt\n4c2\texture\_n4c2_k2_leaf1_d.dds,2048x2048,BC1_UNORM
575,7-0_output\cnt\n4c2\texture\_n4c2_k2_leaf1_d.dds,2048x2048,BC7_UNORM
576,6-3_output\cnt\n4c2\texture\_n4c2_p0_plnt2_d.dds,1024x1024,BC1_UNORM
576,7-0_output\cnt\n4c2\texture\_n4c2_p0_plnt2_d.dds,1024x1024,BC7_UNORM
577,6-3_output\cnt\n4c2\texture\_n4c2_p0_plnt3_d.dds,1024x1024,BC1_UNORM
577,7-0_output\cnt\n4c2\texture\_n4c2_p0_plnt3_d.dds,1024x1024,BC7_UNORM
578,6-3_output\cnt\n4c2\texture\_n4c2_p0_plnt4_d.dds,512x512,BC1_UNORM
578,7-0_output\cnt\n4c2\texture\_n4c2_p0_plnt4_d.dds,512x512,BC7_UNORM
579,6-3_output\cnt\n4c2\texture\_n4c2_p1_ks04_d.dds,512x512,BC1_UNORM
579,7-0_output\cnt\n4c2\texture\_n4c2_p1_ks04_d.dds,512x512,BC7_UNORM
580,6-3_output\cnt\n4c2\texture\_n4c2_p1_ks05_d.dds,512x512,BC1_UNORM
580,7-0_output\cnt\n4c2\texture\_n4c2_p1_ks05_d.dds,512x512,BC7_UNORM
581,6-3_output\cnt\n4c2\texture\_n4c2_p1_kusa2_d.dds,2048x2048,BC1_UNORM
581,7-0_output\cnt\n4c2\texture\_n4c2_p1_kusa2_d.dds,2048x2048,BC7_UNORM
582,6-3_output\cnt\n4c2\texture\_n4c2_p1_kusa3_d.dds,2048x2048,BC1_UNORM
582,7-0_output\cnt\n4c2\texture\_n4c2_p1_kusa3_d.dds,2048x2048,BC7_UNORM
583,6-3_output\cnt\n4c2\texture\_n4c2_p1_kusa4_d.dds,2048x2048,BC1_UNORM
583,7-0_output\cnt\n4c2\texture\_n4c2_p1_kusa4_d.dds,2048x2048,BC7_UNORM
584,6-3_output\cnt\n4c2\texture\_n4c2_p1_pla02_d.dds,512x512,BC1_UNORM
584,7-0_output\cnt\n4c2\texture\_n4c2_p1_pla02_d.dds,512x512,BC7_UNORM
585,6-3_output\cnt\n4c2\texture\_n4c2_p1_pla03_d.dds,512x1024,BC1_UNORM
585,7-0_output\cnt\n4c2\texture\_n4c2_p1_pla03_d.dds,512x1024,BC7_UNORM
586,6-3_output\cnt\n4c2\texture\_n4c2_p1_pla04_d.dds,512x512,BC1_UNORM
586,7-0_output\cnt\n4c2\texture\_n4c2_p1_pla04_d.dds,512x512,BC7_UNORM
587,6-3_output\cnt\n4c2\texture\_n4c2_p1_pla05_d.dds,512x1024,BC1_UNORM
587,7-0_output\cnt\n4c2\texture\_n4c2_p1_pla05_d.dds,512x1024,BC7_UNORM
588,6-3_output\cnt\n4c2\texture\_n4c2_p1_popo2_d.dds,256x256,BC1_UNORM
588,7-0_output\cnt\n4c2\texture\_n4c2_p1_popo2_d.dds,256x256,BC7_UNORM
589,6-3_output\cnt\n4c2\texture\_n4c2_p1_wpl01_d.dds,512x256,BC1_UNORM
589,7-0_output\cnt\n4c2\texture\_n4c2_p1_wpl01_d.dds,512x256,BC7_UNORM
590,6-3_output\cnt\n4c2\texture\_n4c2_p1_wpl02_d.dds,512x256,BC1_UNORM
590,7-0_output\cnt\n4c2\texture\_n4c2_p1_wpl02_d.dds,512x256,BC7_UNORM
591,6-3_output\cnt\n4c2\texture\_n4c2_p1_wpl03_d.dds,512x256,BC1_UNORM
591,7-0_output\cnt\n4c2\texture\_n4c2_p1_wpl03_d.dds,512x256,BC7_UNORM
592,6-3_output\cnt\n4c2\texture\_n4c2_p3_plt02_d.dds,1024x1024,BC1_UNORM
592,7-0_output\cnt\n4c2\texture\_n4c2_p3_plt02_d.dds,1024x1024,BC7_UNORM
593,6-3_output\cnt\o3c1\texture\o3c1_a1_coin1_d.dds,512x512,BC1_UNORM
593,7-0_output\cnt\o3c1\texture\o3c1_a1_coin1_d.dds,512x512,BC7_UNORM
594,6-3_output\cnt\o3c1\texture\o3c1_a1_coin3_d.dds,512x512,BC1_UNORM
594,7-0_output\cnt\o3c1\texture\o3c1_a1_coin3_d.dds,512x512,BC7_UNORM
595,6-3_output\cnt\o3c1\texture\o3c1_a2_coin1_d.dds,512x512,BC1_UNORM
595,7-0_output\cnt\o3c1\texture\o3c1_a2_coin1_d.dds,512x512,BC7_UNORM
596,6-3_output\cnt\o3c1\texture\o3c1_a2_coin3_d.dds,512x512,BC1_UNORM
596,7-0_output\cnt\o3c1\texture\o3c1_a2_coin3_d.dds,512x512,BC7_UNORM
597,6-3_output\cnt\o3c1\texture\o3c1_a3_coin1_d.dds,512x512,BC1_UNORM
597,7-0_output\cnt\o3c1\texture\o3c1_a3_coin1_d.dds,512x512,BC7_UNORM
598,6-3_output\cnt\o3c1\texture\o3c1_a3_coin3_d.dds,512x512,BC1_UNORM
598,7-0_output\cnt\o3c1\texture\o3c1_a3_coin3_d.dds,512x512,BC7_UNORM
599,6-3_output\cnt\o3c1\texture\o3c1_a3_coin4_d.dds,512x512,BC1_UNORM
599,7-0_output\cnt\o3c1\texture\o3c1_a3_coin4_d.dds,512x512,BC7_UNORM
600,6-3_output\cnt\o3c1\texture\o3c1_a3_room2_n.dds,1024x1024,BC3_UNORM
600,7-0_output\cnt\o3c1\texture\o3c1_a3_room2_n.dds,1024x1024,BC7_UNORM
601,6-3_output\cnt\o3c1\texture\o3c1_k4_pil12_n.dds,1024x1024,BC3_UNORM
601,7-0_output\cnt\o3c1\texture\o3c1_k4_pil12_n.dds,1024x1024,BC7_UNORM
602,6-3_output\cnt\o3c1\texture\o3c1_k4_room2_n.dds,1024x1024,BC3_UNORM
602,7-0_output\cnt\o3c1\texture\o3c1_k4_room2_n.dds,1024x1024,BC7_UNORM
603,6-3_output\cnt\u5c1\texture\u5c1_a0_emv08_d.dds,8x128,BC1_UNORM
603,7-0_output\cnt\u5c1\texture\u5c1_a0_emv08_d.dds,8x128,BC7_UNORM
604,6-3_output\cnt\u5c1\texture\u5c1_a0_emv10_n.dds,256x256,BC3_UNORM
604,7-0_output\cnt\u5c1\texture\u5c1_a0_emv10_n.dds,256x256,BC7_UNORM
605,6-3_output\cnt\u5c1\texture\u5c1_a0_emv11_d.dds,64x64,BC1_UNORM
605,7-0_output\cnt\u5c1\texture\u5c1_a0_emv11_d.dds,64x64,BC7_UNORM
606,6-3_output\cnt\u5c1\texture\u5c1_a0_mtl04_n.dds,512x1024,BC3_UNORM
606,7-0_output\cnt\u5c1\texture\u5c1_a0_mtl04_n.dds,512x1024,BC7_UNORM
607,6-3_output\cnt\u5c1\texture\u5c1_a0_mtl05_d.dds,512x1024,BC1_UNORM
607,7-0_output\cnt\u5c1\texture\u5c1_a0_mtl05_d.dds,512x1024,BC7_UNORM
608,6-3_output\cnt\u5c1\texture\u5c1_a1_stn12_n.dds,2048x2048,BC3_UNORM
608,7-0_output\cnt\u5c1\texture\u5c1_a1_stn12_n.dds,2048x2048,BC7_UNORM
609,6-3_output\cnt\u5c1\texture\u5c1_a2_coin1_d.dds,512x512,BC1_UNORM
609,7-0_output\cnt\u5c1\texture\u5c1_a2_coin1_d.dds,512x512,BC7_UNORM
610,6-3_output\cnt\u5c1\texture\u5c1_a2_coin4_d.dds,512x512,BC1_UNORM
610,7-0_output\cnt\u5c1\texture\u5c1_a2_coin4_d.dds,512x512,BC7_UNORM
611,6-3_output\cnt\u5c1\texture\u5c1_a3_coin1_d.dds,512x512,BC1_UNORM
611,7-0_output\cnt\u5c1\texture\u5c1_a3_coin1_d.dds,512x512,BC7_UNORM
612,6-3_output\cnt\u5c1\texture\u5c1_a3_coin4_d.dds,512x512,BC1_UNORM
612,7-0_output\cnt\u5c1\texture\u5c1_a3_coin4_d.dds,512x512,BC7_UNORM
613,6-3_output\cnt\u5c1\texture\u5c1_a3_mtl01_n.dds,1024x1024,BC3_UNORM
613,7-0_output\cnt\u5c1\texture\u5c1_a3_mtl01_n.dds,1024x1024,BC7_UNORM
614,6-3_output\cnt\u5c1\texture\u5c1_k0_arf10_d.dds,256x256,BC1_UNORM
614,7-0_output\cnt\u5c1\texture\u5c1_k0_arf10_d.dds,256x256,BC7_UNORM
616,6-3_output\cnt\u5c1\texture\u5c1_k0_g0002_d.dds,1024x512,BC1_UNORM
616,7-0_output\cnt\u5c1\texture\u5c1_k0_g0002_d.dds,1024x512,BC7_UNORM
617,6-3_output\cnt\u5c1\texture\u5c1_k0_g0003_d.dds,512x1024,BC1_UNORM
617,7-0_output\cnt\u5c1\texture\u5c1_k0_g0003_d.dds,512x1024,BC7_UNORM
